imageId,suggestions
gray269_foot_plantar_plate,踵骨::calcaneus|距骨::talus|舟状骨::navicular bone|立方骨::cuboid bone|内側楔状骨::medial cuneiform bone|中間楔状骨::intermediate cuneiform bone|外側楔状骨::lateral cuneiform bone|中足骨::metatarsal bones|趾骨::phalanges of foot
gray290_foot_medial_plate,距骨::talus|踵骨::calcaneus|舟状骨::navicular bone|内側楔状骨::medial cuneiform bone|第1中足骨::first metatarsal bone|距骨下関節::subtalar joint|載距突起::sustentaculum tali
gray291_foot_lateral_plate,距骨::talus|踵骨::calcaneus|舟状骨::navicular bone|立方骨::cuboid bone|第5中足骨::fifth metatarsal bone|腓骨::fibula|距骨下関節::subtalar joint
brachial_a_plate,上腕動脈::brachial artery|上腕深動脈::deep brachial artery|上尺側側副動脈::superior ulnar collateral artery|下尺側側副動脈::inferior ulnar collateral artery|橈骨動脈::radial artery|尺骨動脈::ulnar artery|橈側反回動脈::radial recurrent artery|尺側反回動脈::ulnar recurrent artery
grays_anatomy_plate_517_brain_plate,上前頭回::superior frontal gyrus|中前頭回::middle frontal gyrus|下前頭回::inferior frontal gyrus|中心前回::precentral gyrus|中心後回::postcentral gyrus|上頭頂小葉::superior parietal lobule|下頭頂小葉::inferior parietal lobule|上側頭回::superior temporal gyrus|中側頭回::middle temporal gyrus|下側頭回::inferior temporal gyrus
gray490blanco_plate,上行大動脈::ascending aorta|大動脈弓::aortic arch|肺動脈幹::pulmonary trunk|右肺動脈::right pulmonary artery|左肺動脈::left pulmonary artery|上大静脈::superior vena cava|心臓::heart|肺::lung
gray491_az_plate,右心房::right atrium|上大静脈::superior vena cava|下大静脈::inferior vena cava|冠状静脈洞::coronary sinus|卵円窩::fossa ovalis|右房室口::right atrioventricular orifice|三尖弁::tricuspid valve
gray492_az_plate,右冠状動脈::right coronary artery|左冠状動脈::left coronary artery|前室間枝::anterior interventricular branch|回旋枝::circumflex branch|右縁枝::right marginal branch|後室間枝::posterior interventricular branch|冠状溝::coronary sulcus|心尖::apex of heart
gray505_az_plate,上行大動脈::ascending aorta|大動脈弓::aortic arch|腕頭動脈::brachiocephalic trunk|総頸動脈::common carotid artery|鎖骨下動脈::subclavian artery|上大静脈::superior vena cava|肺動脈::pulmonary artery|肺静脈::pulmonary vein
gray507_plate,総頸動脈::common carotid artery|外頸動脈::external carotid artery|内頸動脈::internal carotid artery|鎖骨下動脈::subclavian artery|腕頭動脈::brachiocephalic trunk|椎骨動脈::vertebral artery|甲状腺::thyroid gland|喉頭::larynx
gray508_plate,外頸動脈::external carotid artery|上甲状腺動脈::superior thyroid artery|舌動脈::lingual artery|顔面動脈::facial artery|後頭動脈::occipital artery|後耳介動脈::posterior auricular artery|顎動脈::maxillary artery|浅側頭動脈::superficial temporal artery
gray510_plate,顎動脈::maxillary artery|中硬膜動脈::middle meningeal artery|下歯槽動脈::inferior alveolar artery|眼窩下動脈::infraorbital artery|蝶口蓋動脈::sphenopalatine artery|深側頭動脈::deep temporal artery|頬動脈::buccal artery
gray512_regio_submand_plate,下顎骨::mandible|顎下腺::submandibular gland|顎二腹筋::digastric muscle|顎舌骨筋::mylohyoid muscle|舌骨舌筋::hyoglossus muscle|顔面動脈::facial artery|顎下三角::submandibular triangle
gray513_plate,総頸動脈::common carotid artery|内頸動脈::internal carotid artery|外頸動脈::external carotid artery|頸動脈洞::carotid sinus|椎骨動脈::vertebral artery|頸椎::cervical vertebra|咽頭::pharynx
gray514_updated_plate,眼動脈::ophthalmic artery|網膜中心動脈::central retinal artery|涙腺動脈::lacrimal artery|眼窩上動脈::supraorbital artery|滑車上動脈::supratrochlear artery|鼻背動脈::dorsal nasal artery|前篩骨動脈::anterior ethmoidal artery|後篩骨動脈::posterior ethmoidal artery
gray514_plate,眼動脈::ophthalmic artery|網膜中心動脈::central retinal artery|涙腺動脈::lacrimal artery|眼窩上動脈::supraorbital artery|滑車上動脈::supratrochlear artery|鼻背動脈::dorsal nasal artery|前篩骨動脈::anterior ethmoidal artery|後篩骨動脈::posterior ethmoidal artery
gray516_plate,内頸動脈::internal carotid artery|椎骨動脈::vertebral artery|脳底動脈::basilar artery|前大脳動脈::anterior cerebral artery|中大脳動脈::middle cerebral artery|後大脳動脈::posterior cerebral artery|前交通動脈::anterior communicating artery|後交通動脈::posterior communicating artery|上小脳動脈::superior cerebellar artery
gray518_plate,帯状回::cingulate gyrus|中心傍小葉::paracentral lobule|楔前部::precuneus|楔部::cuneus|舌状回::lingual gyrus|海馬傍回::parahippocampal gyrus|脳梁::corpus callosum
